taxi.data_prog_dayofmonth.zone_id,taxi.data_prog_dayofmonth.year,taxi.data_prog_dayofmonth.month,taxi.data_prog_dayofmonth.day,taxi.data_prog_dayofmonth.count
1,2013,5,29,7801
1,2013,8,30,8809
1,2010,1,29,5056
1,2010,4,30,6428
1,2010,7,31,5975
1,2010,11,1,7087
1,2011,1,8,5287
1,2011,4,9,5423
1,2011,7,10,7376
1,2011,10,11,7792
1,2012,3,19,9294
1,2012,6,20,7142
1,2012,9,21,8459
1,2012,12,22,6121
1,2013,5,30,7567
1,2013,8,31,7833
1,2013,12,1,10902
1,2010,1,30,3983
1,2010,8,1,6700
1,2010,11,2,5697
1,2011,1,9,6748
1,2011,4,10,7708
1,2011,7,11,8049
1,2011,10,12,7111
1,2012,3,20,7876
1,2012,6,21,7487
1,2012,9,22,6938
1,2012,12,23,5371
1,2013,5,31,7703
1,2013,9,1,7637
1,2013,12,2,11670
1,2010,1,31,5295
1,2010,5,1,5462
1,2010,8,2,4228
1,2010,11,3,5419
1,2011,1,10,7157
1,2011,4,11,8142
1,2011,7,12,6382
1,2011,10,13,7216
1,2012,3,21,7304
1,2012,6,22,7367
1,2012,9,23,8731
1,2012,12,24,4774
1,2013,6,1,7079
1,2013,9,2,9893
1,2013,12,3,8629
1,2010,2,1,1929
1,2010,5,2,6516
1,2010,8,3,3619
1,2010,11,4,5679
1,2011,1,11,5106
1,2011,4,12,6722
1,2011,7,13,6325
1,2011,10,14,7748
1,2012,3,22,7800
1,2012,6,23,7455
1,2012,9,24,8886
1,2012,12,25,5084
1,2013,3,1,7731
1,2013,6,2,8772
1,2013,9,3,10618
1,2013,12,4,7962
1,2010,2,2,1497
1,2010,5,3,7635
1,2010,8,4,3290
1,2010,11,5,6445
1,2011,1,12,3188
1,2011,4,13,6624
1,2011,7,14,6810
1,2011,10,15,6092
1,2012,3,23,7202
1,2012,6,24,8187
1,2012,9,25,7237
1,2012,12,26,7449
1,2013,3,2,6523
1,2013,6,3,9835
1,2013,9,4,8483
1,2013,12,5,8007
1,2010,2,3,1499
1,2010,5,4,5960
1,2010,8,5,4645
1,2010,11,6,5061
1,2011,1,13,5943
1,2011,4,14,6855
1,2011,7,15,6864
1,2011,10,16,8099
1,2012,3,24,6318
1,2012,6,25,8878
1,2012,9,26,7062
1,2012,12,27,8837
1,2013,3,3,8414
1,2013,6,4,8238
1,2013,9,5,7723
1,2013,12,6,7752
1,2010,2,4,1503
1,2010,5,5,5653
1,2010,8,6,5607
1,2010,11,7,6189
1,2011,1,14,6117
1,2011,4,15,7184
1,2011,7,16,5984
1,2011,10,17,8321
1,2012,3,25,8040
1,2012,6,26,8156
1,2012,9,27,8044
1,2012,12,28,8443
1,2013,3,4,9049
1,2013,6,5,7593
1,2013,9,6,8023
1,2013,12,7,6809
1,2010,2,5,1597
1,2010,5,6,5922
1,2010,8,7,4986
1,2010,11,8,6624
1,2011,1,15,4812
1,2011,4,16,5341
1,2011,7,17,7842
1,2011,10,18,7034
1,2012,3,26,9195
1,2012,6,27,7180
1,2012,9,28,8389
1,2012,12,29,7572
1,2013,3,5,7436
1,2013,6,6,7926
1,2013,9,7,7400
1,2013,12,8,8150
1,2010,2,6,1253
1,2010,5,7,5964
1,2010,8,8,6579
1,2010,11,9,5559
1,2011,1,16,5339
1,2011,4,17,8296
1,2011,7,18,8625
1,2011,10,19,6377
1,2012,3,27,8046
1,2012,6,28,7542
1,2012,9,29,7386
1,2012,12,30,8364
1,2013,3,6,6763
1,2013,6,7,7378
1,2013,9,8,9264
1,2013,12,9,9133
1,2010,2,7,1949
1,2010,5,8,4790
1,2010,8,9,7213
1,2010,11,10,5805
1,2011,1,17,7274
1,2011,4,18,7717
1,2011,7,19,6661
1,2011,10,20,7400
1,2012,3,28,7732
1,2012,6,29,7313
1,2012,9,30,8636
